Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,30.896230697631836,33.62959566682496,25.536993424027145,27.579339475363934,855215656
2007-10-08,29.3145694732666,31.940442088112835,29.130296906938245,31.940442088112835,126671715
2007-10-09,31.31085205078125,31.587258865753952,27.748263753421156,29.329928906587007,116725709
2007-10-10,31.602611541748047,32.2475634777961,31.326204759320543,32.124714398993284,67931378
2007-10-11,35.134483337402344,36.854353617199706,31.326201824292376,36.854353617199706,106320954
2007-10-12,34.904151916503906,36.20941028675012,34.09028576581861,34.39740538234713,99410791
2007-10-15,35.364830017089844,35.840867904230045,35.05771041206116,35.62588251447947,41814972
2007-10-16,38.97348403930664,39.58772739387044,35.16520190069811,35.41089591006275,138614496
2007-10-17,42.01395797729492,42.996737867348905,32.58538567998248,35.011630953483305,204876259
2007-10-18,40.5397834777832,45.89902057059463,38.80455908681881,42.68962003858952,146617799
2007-10-19,40.40159225463867,42.04468286821115,38.38995647267717,39.61843481320597,110266491
2007-10-22,39.8641357421875,41.10796848190724,38.54351893528964,39.587728929536034,72253405
2007-10-23,42.704986572265625,43.08888603056992,40.846910694727455,40.846910694727455,74594921
2007-10-24,42.044673919677734,44.071663583253276,41.56863616469423,43.610980138028076,63055170
2007-10-25,41.952537536621094,42.9353217123061,37.053979299826786,40.61656672971581,34522489
2007-10-26,43.21171951293945,43.90273832182369,41.53791673185676,42.68961474666382,62370025
2007-10-29,44.08704376220703,45.14660839335886,43.70314413723572,43.918129593450665,43657697
2007-10-30,45.06979751586914,46.28291699830031,43.36528185225684,44.68589815454764,79921711
2007-10-31,46.006526947021484,47.02002412717177,45.14659373256927,45.300153532691176,44655368
2007-11-01,44.977657318115234,47.496038690934576,44.6091164457639,47.14285212617411,50632492
2007-11-02,45.79153060913086,46.06794151570488,42.99674208219775,43.34993287047006,32001693
2007-11-05,46.72826385498047,47.757115459315486,45.48442684117487,45.760837843516086,38833135
2007-11-06,47.342498779296875,50.336914928358915,46.69754677561442,47.54212568945243,81880281
2007-11-07,46.65147018432617,48.893441179065206,45.60726457260628,48.2177806846937,33593141
2007-11-08,45.85295867919922,47.09679532983212,44.83946585178758,45.45370493884322,27990521
2007-11-12,46.95859909057617,47.787823687171596,43.257805364972086,44.4709294663661,35153735
2007-11-13,48.07957458496094,49.04700029816694,46.23685735387316,47.75710073575071,43830531
2007-11-14,47.449981689453125,49.599818481356614,47.2042835567475,48.92415382338537,36738579
2007-11-15,48.248497009277344,49.093075813341294,47.34249262596028,48.340631212581314,29242252
2007-11-16,47.91066360473633,49.00093637077168,47.35784590029854,48.03351059497508,18895294
2007-11-19,49.645870208740234,51.44251980454622,48.632377701144094,49.00091853773628,40716718
2007-11-20,48.87809753417969,50.82830788836372,48.27921262919577,49.44626964508664,26342171
2007-11-21,45.06979751586914,49.461604543157335,43.97952083037126,49.16984352789779,26814499
2007-11-22,43.518856048583984,46.40578353687611,41.630071396767015,44.59377461724457,34096185
2007-11-23,46.40576171875,46.68216838762076,43.7952422566454,46.37504894097012,27664090
2007-11-26,46.77430725097656,48.125632118781716,46.40576637734307,48.125632118781716,20159123
2007-11-27,45.62261962890625,47.572829589385215,45.146585996331076,47.572829589385215,20573198
2007-11-28,44.946964263916016,46.83575320527926,44.639844652712405,46.62076781120621,16435311
2007-11-29,43.73383712768555,46.31364060565342,43.16566510701047,46.0679466232091,25530967
2007-11-30,45.422996520996094,45.69940330364595,43.918111446057296,44.53235059220177,18437721
2007-12-03,46.067955017089844,46.63612714128957,45.622629906495796,45.97581663270328,16851227
2007-12-04,45.46905517578125,46.75895880925342,45.1312228750552,46.37505941424087,14008727
2007-12-05,47.281070709228516,47.449988982471595,45.45371165459242,45.54584586503335,27725290
2007-12-06,46.40576171875,49.03163132138341,45.8068771315516,48.30989978863956,24104710
2007-12-07,46.20614242553711,47.35784064159286,45.37692220932205,46.697534497502595,11742386
2007-12-10,46.252220153808594,46.820388020712805,45.65333533149109,46.65147392496978,8330010
2007-12-11,46.0372314453125,46.927877292430466,45.80689178663154,46.666824846143626,11685950
2007-12-12,46.006526947021484,46.42113924046586,45.14659373256927,45.45371333281309,16342131
2007-12-13,45.23871612548828,46.68217953568618,45.06980205572207,46.06794049569985,14620172
2007-12-14,44.79340362548828,45.49978121746898,44.56306392136819,45.08516891693756,10991851
2007-12-17,42.090736389160156,45.30013668427043,41.461138943479995,45.05443859611184,19355678
2007-12-18,41.906463623046875,43.30385561014638,40.601205814992,41.61469844678124,21607783
2007-12-19,41.138675689697266,43.62634499692779,40.785489023400956,43.25779985305079,19526912
2007-12-20,40.72406768798828,42.01397166039993,40.539795096847165,41.67613927090391,17105204
2007-12-24,41.967891693115234,42.62819779057792,41.00046192748343,41.33829421345209,16711519
2007-12-26,43.24243927001953,43.76454412053359,42.198233734566486,42.198233734566486,20930094
2007-12-27,43.549560546875,44.74732589072666,43.18101544157822,44.13308682561553,44565277
2007-12-28,43.88739776611328,44.071670339336904,42.996747689795086,43.45742704006627,18354518
2007-12-31,44.20986557006836,44.47091799913188,43.67240640193912,44.22522404564571,11982308
2008-01-01,45.023746490478516,45.438358820117585,44.025607702550936,44.440220032190005,16687746
2008-01-02,44.77804183959961,45.36156815955238,44.11773563108529,45.02373581676639,13437280
2008-01-03,46.62076950073242,46.80504210724786,43.964185600662475,44.50164493974619,31815218
2008-01-04,46.37506103515625,47.91065866887912,46.06794150841168,47.29641961538997,28011310
2008-01-07,45.99116516113281,47.050725110483356,45.49977304746312,46.0832993600066,15858063
2008-01-08,44.42485427856445,46.682183789314564,43.88739506960373,46.0372319054466,13282666
2008-01-09,43.71848678588867,44.67055843478916,43.61099408647505,44.47093151620754,13113527
2008-01-10,42.674278259277344,45.14659352946328,42.38251297412785,43.91811513401471,18023003
2008-01-11,43.3192138671875,43.733826001965205,41.61469823878462,43.25778830441503,11629440
2008-01-14,43.97952651977539,44.4402058129569,42.70498130842158,43.39600024819385,10264240
2008-01-15,42.64354705810547,44.87016318868058,42.290360504991185,44.68589484136833,11558334
2008-01-16,41.76827621459961,42.689635064969764,40.70871603601978,42.336448338776485,14834065
2008-01-17,42.889259338378906,43.84133083237323,41.03118345247894,41.92182936663786,16169395
2008-01-18,40.89299011230469,42.58214806549881,40.53979920781195,42.536076788859546,13254156
2008-01-21,33.93672180175781,40.53979274852732,29.56026571936683,40.53979274852732,33202389
2008-01-22,30.527698516845703,32.247569266513565,24.247100458918684,30.58912202587921,58755707
2008-01-23,33.93672180175781,35.24198001216574,31.019085802022452,31.019085802022452,28425991
2008-01-24,34.01350402832031,36.424393721234814,32.401126128454564,35.764087414405026,29911930
2008-01-25,35.76408004760742,35.93299412656944,34.32061655882629,35.62587458985646,12550722
2008-01-28,36.147979736328125,36.42438648830271,32.4011196944382,35.27268821709581,13601109
2008-01-29,35.54909896850586,36.76222295022257,35.011639714809355,36.240118008972786,7679877
2008-01-30,33.583526611328125,35.77943021119445,33.13820166847961,35.62587046063632,9016102
2008-01-31,31.38762855529785,34.0288577397834,31.01908548096655,33.93672145050359,41538563
2008-02-01,32.477901458740234,32.70824112631178,31.633322677644536,31.925085840010944,9089201
2008-02-04,34.151695251464844,34.55095100559367,33.09213342600602,33.09213342600602,12009385
2008-02-05,35.21126174926758,35.67194104605649,33.47603723114441,34.213123272891615,14593303
2008-02-06,34.904151916503906,35.31876423193269,32.95394360122072,34.24384557408287,12429218
2008-02-07,33.26104736328125,35.610512559483105,33.046064150744485,34.428101766350096,11300078
2008-02-08,32.401119232177734,33.752444351333004,31.802234473464182,33.47603760330186,13514197
