Price,Close,High,Low,Open,Volume
Ticker,APLE,APLE,APLE,APLE,APLE
Date,,,,,
2015-05-18,10.303006172180176,10.303006172180176,9.747789010374516,10.303006172180176,2197500
2015-05-19,10.760916709899902,10.96125315172296,10.25721468553366,10.25721468553366,1978700
2015-05-20,10.652161598205566,10.783810830395913,10.509064321891126,10.703676705018411,717600
2015-05-21,10.446096420288086,10.68077575937687,10.314447247969028,10.646432734368654,793000
2015-05-22,10.423210144042969,10.531964432539972,10.331627930070576,10.446106243409119,536200
2015-05-26,10.44038200378418,10.560584339491413,10.365971865867195,10.44610602850796,681400
2015-05-27,10.733903884887695,10.762681766346164,10.359800208039072,10.474909538345077,652700
2015-05-28,10.659082412719727,10.762680579013457,10.543973095112513,10.607283329572862,949800
2015-05-29,10.618799209594727,10.647576002929357,10.423113941179206,10.549733368721597,565500
2015-06-01,10.636067390441895,10.647578549634725,10.503692353018039,10.549735892024797,1014500
2015-06-02,10.745423316955566,10.76269005913489,10.549737963315676,10.549737963315676,922000
2015-06-03,10.895054817199707,10.906565967764491,10.653326144157928,10.762679878995902,1165000
2015-06-04,10.883543014526367,10.89505416440144,10.77994486117807,10.883543014526367,928000
2015-06-05,10.854772567749023,10.87779378316071,10.722396462515652,10.86628262657271,711900
2015-06-08,10.860529899597168,10.877795539502586,10.722398193766885,10.762687248330005,787200
2015-06-09,10.877792358398438,10.895059091018858,10.831748835841486,10.877792358398438,959300
2015-06-10,10.854772567749023,10.90081609633671,10.849016989455023,10.87779378316071,1091800
2015-06-11,10.854772567749023,10.87779378316071,10.837505832867024,10.854772567749023,860800
2015-06-12,10.768441200256348,10.854773786596036,10.73966440331941,10.808730252838274,911600
2015-06-15,10.820239067077637,10.851894198722059,10.69361963826426,10.751174323275544,776300
2015-06-16,10.872035026550293,10.900812909607405,10.716638849097864,10.814481455964057,1251100
2015-06-17,10.952614784240723,10.95837036231455,10.82599426214505,10.831749840218878,1459800
2015-06-18,10.992902755737305,11.050457438830392,10.906571279979811,10.929592494558483,998200
2015-06-19,10.849018096923828,10.992904275668801,10.837506939160768,10.981393117905741,440600
2015-06-22,10.756930351257324,10.929593315745215,10.756930351257324,10.849017412019446,646200
2015-06-23,10.797216415405273,10.935346982398608,10.572754381261623,10.618797903592736,972200
2015-06-24,10.935351371765137,11.07348199420305,10.714341717205714,10.785709589682915,742700
2015-06-25,10.906572341918945,11.015925042902444,10.88355002733439,10.93534913738526,1194200
2015-06-26,11.085933685302734,11.253727575898585,10.964428677840399,11.01650256777789,8790200
2015-06-29,10.912360191345215,11.091725287952434,10.912360191345215,11.004935796277216,722900
2015-06-30,10.918146133422852,11.091725114051847,10.90657390709072,11.05122342547763,490900
2015-07-01,10.93549919128418,10.964429746061217,10.871854177950345,10.91814196200578,652200
2015-07-02,10.889213562011719,10.967324419984743,10.88921356201172,10.935501355226693,341500
2015-07-06,10.877643585205078,10.92971750127925,10.790854092944219,10.842928009018388,422500
2015-07-07,10.779282569885254,10.970219906756384,10.761925332453186,10.837142603031609,448500
2015-07-08,10.761924743652344,10.860286463543128,10.675135250475366,10.785068093491674,423000
2015-07-09,10.808207511901855,10.837136961621267,10.686701395187242,10.837136961621267,353900
2015-07-10,10.981788635253906,10.987574747083894,10.75034967999437,10.79085135921629,700700
2015-07-13,10.854494094848633,10.964427978099412,10.790847988189606,10.929711317964864,340900
2015-07-14,10.964432716369629,10.98757606287306,10.825568222996555,10.883428244637315,463100
2015-07-15,10.964432716369629,10.976003837827284,10.866071010656773,10.918144919774646,510500
2015-07-16,10.964432716369629,10.99336217539595,10.912358807251756,10.918144919774646,781300
2015-07-17,10.952856063842773,10.964428284210703,10.871852728442619,10.935497733290878,513000
2015-07-20,10.779282569885254,10.947076555650847,10.767711446126658,10.947076555650847,373800
2015-07-21,10.60569953918457,10.785064580470825,10.426334497898313,10.72141956145256,739000
2015-07-22,10.547842025756836,10.646203736900093,10.478410878825233,10.59991593774963,386800
2015-07-23,10.316398620605469,10.605697517541783,10.258538620500664,10.576768069283236,704800
2015-07-24,10.154393196105957,10.391618258325579,10.032888160934526,10.351116579935102,590200
2015-07-27,10.165963172912598,10.270110953522353,10.067601502735354,10.09653205489791,655500
2015-07-28,10.362686157226562,10.374258377693987,10.056028936365918,10.125461155582782,734800
2015-07-29,10.455777168273926,10.548872483545063,10.19976560617015,10.19976560617015,656800
2015-07-30,10.484878540039062,10.560518128070127,10.287050559299868,10.385964549669465,1000400
2015-07-31,10.554696083068848,10.618699558828354,10.467419322350391,10.531422798109897,316200
2015-08-03,10.572151184082031,10.618698860723976,10.519784909136824,10.589606978991817,308200
2015-08-04,10.484878540039062,10.618703024131877,10.47905993945443,10.531426234931546,341700
2015-08-05,10.525604248046875,10.618699607881178,10.484875166842397,10.554696131826008,485100
2015-08-06,10.4266939163208,10.566337004645701,10.339417124840814,10.467423011692487,814600
2015-08-07,10.525604248046875,10.572151927964025,10.35686821473206,10.35686821473206,384400
2015-08-10,10.444151878356934,10.57215779167993,10.380148366803011,10.508154280126009,445500
2015-08-11,10.455777168273926,10.502324825909495,10.193947010242741,10.374319044857605,521400
2015-08-12,10.438325881958008,10.612879377362418,10.211405006191402,10.38014101356185,1342900
2015-08-13,10.351053237915039,10.403418419469213,10.281231146201979,10.339416037665446,539300
2015-08-14,10.455777168273926,10.473232956056151,10.240494667878309,10.298679517368694,781100
2015-08-17,10.53142261505127,10.589607491113604,10.38014238120288,10.385960979787535,681500
2015-08-18,10.455777168273926,10.56050967539988,10.415048106565767,10.47905155198356,515500
2015-08-19,10.4266939163208,10.48487881390233,10.362690418002657,10.48487881390233,550700
